original_article,duplicate_article,link1_length,link2_length,link3_length,link4_length,is circular reporting?
postimees.ee/8166909,postimees.ee/8164446,2,3,,,FALSE
postimees.ee/8165246,postimees.ee/7911857,2,3,3,,FALSE
postimees.ee/8165246,postimees.ee/7912719,3,2,,,FALSE
postimees.ee/8163273,postimees.ee/8161972,2,3,,,FALSE
postimees.ee/8161656,err.ee/1609539742,3,2,,,FALSE
postimees.ee/8121923,postimees.ee/8079775,2,3,,,FALSE
postimees.ee/8121768,err.ee/1609500904,2,2,,,TRUE
postimees.ee/8121768,err.ee/1609462627,3,3,,,FALSE
postimees.ee/8114897,postimees.ee/7952124,2,3,,,FALSE
postimees.ee/8106489,postimees.ee/8086021,2,3,,,FALSE
postimees.ee/8101213,postimees.ee/8083936,2,3,,,FALSE
postimees.ee/8094218,delfi.ee/artikkel/120318458,3,2,,,FALSE
postimees.ee/8089106,err.ee/1609439693,2,3,,,FALSE
postimees.ee/8085387,postimees.ee/8080056,2,3,,,FALSE
postimees.ee/8068080,postimees.ee/8066437,2,3,,,FALSE
postimees.ee/8067401,err.ee/1609408840,2,3,,,FALSE
postimees.ee/8057805,err.ee/1609394389,3,2,,,FALSE
postimees.ee/8020426,postimees.ee/7965709,2,3,,,FALSE
postimees.ee/8020426,postimees.ee/8014645,2,3,,,FALSE
postimees.ee/8020350,postimees.ee/7660908,2,3,,,FALSE
postimees.ee/8016130,postimees.ee/7946773,2,3,,,FALSE
postimees.ee/8016130,postimees.ee/7953218,2,3,,,FALSE
postimees.ee/8016130,postimees.ee/7883709,2,3,,,FALSE
postimees.ee/8006767,err.ee/1609320429,2,3,,,FALSE
postimees.ee/7992794,postimees.ee/7974754,2,3,,,FALSE
postimees.ee/7978622,postimees.ee/7889269,2,3,,,FALSE
postimees.ee/7976943,postimees.ee/7970066,2,3,,,FALSE
postimees.ee/7976943,postimees.ee/7946395,3,3,,,FALSE
postimees.ee/7976943,postimees.ee/7965709,3,2,,,FALSE
postimees.ee/7974027,err.ee/1609272801,2,3,,,FALSE
